word,popularity
2-faced,negative
2-faces,negative
a+,positive
abandon,negative
abandoned,negative
abandonment,negative
abba,positive
abduction,negative
aberrant,negative
aberration,negative
abhor,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abhorrently,negative
abhors,negative
abidance,positive
abilities,positive
ability,positive
abject,negative
abjectly,negative
able,positive
abnormal,negative
abolish,negative
abolition,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
abort,negative
aborted,negative
abortion,negative
abortive,negative
aborts,negative
abound,positive
abounds,positive
above,positive
above-average,positive
abovementioned,positive
abrade,negative
abrasion,negative
abrasive,negative
abrogate,negative
abrupt,negative
abruptly,negative
abscess,negative
abscond,negative
absence,negative
absent,negative
absentee,negative
absenteeism,negative
absent-minded,negative
absolute,positive
absolution,positive
absorbed,positive
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abundance,positive
abundance,negative
abundant,positive
abuse,negative
abused,negative
abuses,negative
abusive,negative
abysmal,negative
abysmally,negative
abyss,negative
academic,positive
academy,positive
acceptable,positive
acceptance,positive
accessable,positive
accessible,positive
accident,negative
accidental,negative
acclaim,positive
acclaimed,positive
acclamation,positive
accolade,positive
accolades,positive
accommodation,positive
accommodative,positive
accomodative,positive
accompaniment,positive
accomplish,positive
accomplished,positive
accomplishment,positive
accomplishments,positive
accord,positive
accordance,positive
accordantly,positive
accost,negative
accountability,positive
accountable,negative
accountable,positive
accredited,positive
accueil,positive
accurate,positive
accurately,positive
accursed,negative
accusation,negative
accusations,negative
accusative,negative
accuse,negative
accused,negative
accuser,negative
accuses,negative
accusing,negative
accusingly,negative
ace,positive
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
ached,negative
aches,negative
achey,negative
achievable,positive
achieve,positive
achievement,positive
achievements,positive
achievible,positive
aching,negative
acid,negative
acknowledgement,positive
acknowledgment,positive
acquire,positive
acquiring,positive
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
acrobat,positive
action,positive
actionable,negative
active,positive
actual,positive
acuity,positive
acumen,positive
adamant,negative
adamantly,negative
adapt,positive
adaptability,positive
adaptable,positive
adaptive,positive
adder,negative
addict,negative
addicted,negative
addicting,negative
addiction,negative
addicts,negative
addresses,positive
adept,positive
adeptly,positive
adequacy,positive
adequate,positive
adherence,positive
adherent,positive
adhesion,positive
adipose,negative
adjudicate,negative
adjunct,positive
adjustable,positive
admirable,positive
admirably,positive
admiral,positive
admiration,positive
admire,positive
admirer,positive
admiring,positive
admiringly,positive
admissible,positive
admission,positive
admonish,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
adorable,positive
adoration,positive
adore,positive
adored,positive
adorer,positive
adoring,positive
adoringly,positive
adrift,negative
adroit,positive
adroitly,positive
adulate,positive
adulation,positive
adulatory,positive
adulterate,negative
adulterated,negative
adulteration,negative
adulterier,negative
adultery,negative
advance,positive
advanced,positive
advancement,positive
advantage,positive
advantageous,positive
advantageously,positive
advantages,positive
advent,positive
adventure,positive
adventuresome,positive
adventurism,positive
adventurous,positive
adversarial,negative
adversary,negative
adverse,negative
adversity,negative
advice,positive
advisable,positive
advise,positive
adviser,positive
advocacy,positive
advocate,positive
advocated,positive
advocates,positive
aesthetic,positive
aesthetics,positive
affability,positive
affable,positive
affably,positive
affectation,negative
affectation,positive
affection,positive
affectionate,positive
affiliated,positive
affinity,positive
affirm,positive
affirmation,positive
affirmative,positive
affirmatively,positive
afflict,negative
afflicted,negative
affliction,negative
afflictive,negative
affluence,positive
affluent,positive
afford,positive
affordable,positive
affordably,positive
affront,negative
afloat,positive
afordable,positive
afraid,negative
aftermath,negative
aftertaste,negative
aga,positive
against,negative
aggravate,negative
aggravated,negative
aggravating,negative
aggravation,negative
aggression,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aggrivation,negative
aghast,negative
agile,positive
agilely,positive
agility,positive
agitated,negative
agitation,negative
agitator,negative
agonies,negative
agonize,negative
agonizing,negative
agonizingly,negative
agony,negative
agree,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreed,positive
agreeing,positive
agreement,positive
agriculture,positive
aground,negative
ahead,positive
aid,positive
aiding,positive
ail,negative
ailing,negative
ailment,negative
aimless,negative
airs,negative
alabaster,positive
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alcoholism,negative
alertness,positive
alien,negative
alienate,negative
alienated,negative
alienation,negative
alimentation,positive
alimony,negative
alive,positive
all-around,positive
allay,positive
allegation,negative
allegations,negative
allege,negative
allegiance,positive
allegro,positive
allergic,negative
allergies,negative
allergy,negative
alleviate,positive
alleviation,positive
allied,positive
allowable,positive
allure,positive
alluring,positive
alluringly,positive
ally,positive
almighty,positive
aloha,positive
aloof,negative
altercation,negative
altruist,positive
altruistic,positive
altruistically,positive
amaze,positive
amazed,positive
amazement,positive
amazes,positive
amazing,positive
amazingly,positive
ambassador,positive
ambiguity,negative
ambiguous,negative
ambition,positive
ambitious,positive
ambitiously,positive
ambivalence,negative
ambivalent,negative
ambush,negative
ameliorate,positive
amen,positive
amenable,positive
amend,positive
amends,positive
amenity,positive
amiability,positive
amiabily,positive
amiable,positive
amicability,positive
amicable,positive
amicably,positive
amiss,negative
amity,positive
amnesia,negative
amnesty,positive
amour,positive
amphetamines,negative
ample,positive
amply,positive
amputate,negative
amuse,positive
amused,positive
amusement,positive
amusing,positive
amusingly,positive
anaconda,negative
anal,negative
analyst,positive
anarchism,negative
anarchist,negative
anarchistic,negative
anarchy,negative
anathema,negative
anchor,positive
anchorage,positive
ancient,negative
anemic,negative
angel,positive
angelic,positive
anger,negative
angina,negative
angling,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
animate,positive
animated,positive
animosity,negative
animus,negative
annihilate,negative
annihilated,negative
annihilation,negative
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoying,negative
annoyingly,negative
annoys,negative
annul,negative
annulment,negative
anomalous,negative
anomaly,negative
anonymous,negative
antagonism,negative
antagonist,negative
antagonistic,negative
antagonize,negative
anthrax,negative
anti-,negative
anti-American,negative
antibiotics,positive
antichrist,negative
antidote,positive
antifungal,positive
anti-Israeli,negative
anti-Israeli,negative
anti-occupation,negative
antipathy,negative
anti-proliferation,negative
antiquated,negative
antique,positive
anti-Semites,negative
antiseptic,positive
antisocial,negative
anti-social,negative
antithesis,negative
antithetical,negative
anti-US,negative
anti-white,negative
anxieties,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
apache,negative
apathetic,negative
apathetically,negative
apathy,negative
aphid,negative
aplomb,positive
apocalypse,negative
apocalyptic,negative
apologetic,positive
apologist,negative
apologists,negative
apologize,positive
apology,positive
apostle,positive
apotheosis,positive
appal,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
appeal,positive
appealing,positive
appendicitis,negative
applaud,positive
applause,positive
appreciable,positive
appreciate,positive
appreciated,positive
appreciates,positive
appreciation,positive
appreciative,positive
appreciatively,positive
apprehension,negative
apprehensions,negative
apprehensive,negative
apprehensively,negative
approbation,positive
appropriate,positive
appropriation,negative
approval,positive
approve,positive
approving,positive
apt,positive
aptitude,positive
aptly,positive
arbitrary,negative
arcane,negative
archaeology,positive
archaic,negative
ardent,positive
ardently,positive
ardor,positive
arduous,negative
arduously,negative
argue,negative
argument,negative
argumentative,negative
arguments,negative
arid,negative
aristocracy,positive
aristocratic,positive
armaments,negative
armed,negative
armed,positive
armor,positive
aroma,positive
arouse,positive
arraignment,negative
array,positive
arrears,negative
arrest,negative
arresting,positive
arrogance,negative
arrogant,negative
arrogantly,negative
arsenic,negative
arson,negative
art,positive
articulate,positive
articulation,positive
artificial,negative
artillery,negative
artisan,positive
artiste,positive
artistic,positive
ascendancy,positive
ascendant,positive
ascent,positive
ascertainable,positive
ash,negative
ashamed,negative
ashes,negative
asinine,negative
asininely,negative
asinininity,negative
askance,negative
asperse,negative
aspersion,negative
aspersions,negative
aspiration,positive
aspirations,positive
aspire,positive
aspiring,positive
ass,negative
assail,negative
assailant,negative
assassin,negative
assassinate,negative
assassination,negative
assault,negative
assembly,positive
assent,positive
asserting,positive
assertions,positive
assertive,positive
asset,positive
assets,positive
asshole,negative
assiduous,positive
assiduously,positive
assist,positive
assistance,positive
associate,positive
assuage,positive
assult,negative
assurance,positive
assurances,positive
assure,positive
assured,positive
assuredly,positive
assuring,positive
astonish,positive
astonished,positive
astonishing,positive
astonishingly,positive
astonishment,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astray,negative
astringent,negative
astrologer,positive
astronaut,positive
astronomer,positive
astute,positive
astutely,positive
asunder,negative
asylum,positive
asylum,negative
atheism,negative
atherosclerosis,negative
athlete,positive
athletic,positive
atom,positive
atone,positive
atonement,positive
atrocious,negative
atrocities,negative
atrocity,negative
atrophy,negative
attachment,positive
attack,negative
attacking,negative
attacks,negative
attainable,positive
attainment,positive
attendant,positive
attention,positive
attentive,positive
attenuated,negative
attenuation,negative
attest,positive
attorney,positive
attraction,positive
attractive,positive
attractively,positive
attractiveness,positive
attune,positive
audacious,negative
audaciously,negative
audaciousness,negative
audacity,negative
audible,positive
audibly,positive
audiciously,negative
augment,positive
august,positive
aunt,positive
aura,positive
auspicious,positive
austere,negative
austerity,negative
authentic,positive
authenticity,positive
author,positive
authoritarian,negative
authoritative,positive
authority,positive
authorization,positive
authorized,positive
autocrat,negative
autocratic,negative
autonomous,positive
autopsy,negative
available,positive
avalanche,negative
avarice,negative
avaricious,negative
avariciously,negative
avatar,positive
avenge,negative
avenger,negative
aver,positive
averse,negative
aversion,negative
avid,positive
avidly,positive
avoid,negative
avoidance,negative
award,positive
awarded,positive
awards,positive
awe,positive
awed,positive
aweful,negative
awesome,positive
awesomely,positive
awesomeness,positive
awestruck,positive
awful,negative
awfully,negative
awfulness,negative
awkward,negative
awkwardness,negative
awry,negative
awsome,positive
ax,negative
ay,positive
aye,positive
babble,negative
